NAME,IAU_ID,ALT_NAME,RA,DEC,PSG_TYPE_1,PSG_TYPE_2,CATEGORY_1,CATEGORY_2,MORPHTYPE,EGIS,EGIPS,REFERENCE,LINKS,PGC,RA_LEDA,DEC_LEDA,MORPHTYPE_LEDA,D25_LEDA,REDSHIFT_LEDA,NED_NAME,REDSHIFT_NED,J_MAG_NED,H_MAG_NED,Ks_MAG_NED,SGA_ID,RA_SGA,DEC_SGA,G_MAG_SB26_SGA,G_MAG_SB26_ERR_SGA,R_MAG_SB26_SGA,R_MAG_SB26_ERR_SGA,Z_MAG_SB26_SGA,Z_MAG_SB26_ERR_SGA,D26_SGA,D26_REF,PHDEP_G,PHDEP_R,PHDEP_I,PHDEP_Z,PHDEP_GR,PHDEP_ALL,G_MAG_ASYM_IRAF,G_MAG_ASYM_ERR_IRAF,G_MAG_SB26_IRAF,R26_G_IRAF,R26_G_ERR_IRAF,G_MAG_OUTER_IRAF,R_G_IRAF,R_MAG_ASYM_IRAF,R_MAG_ASYM_ERR_IRAF,R_MAG_SB26_IRAF,R26_R_IRAF,R26_R_ERR_IRAF,R_MAG_OUTER_IRAF,R_R_IRAF,I_MAG_ASYM_IRAF,I_MAG_ASYM_ERR_IRAF,I_MAG_SB26_IRAF,R26_I_IRAF,R26_I_ERR_IRAF,I_MAG_OUTER_IRAF,R_I_IRAF,Z_MAG_ASYM_IRAF,Z_MAG_ASYM_ERR_IRAF,Z_MAG_SB26_IRAF,R26_Z_IRAF,R26_Z_ERR_IRAF,Z_MAG_OUTER_IRAF,R_Z_IRAF,PA_SB26_GR,SMA_SB26_GR,SMB_SB26_GR,G_MAG_SB26_GR,R_MAG_SB26_GR,I_MAG_SB26_GR,Z_MAG_SB26_GR,W1_MAG_IRSA,W1_MAG_ERR_IRSA,W2_MAG_IRSA,W2_MAG_ERR_IRSA,W3_MAG_IRSA,W3_MAG_ERR_IRSA,W4_MAG_IRSA,W4_MAG_ERR_IRSA,A_G,A_R,A_I,A_Z,A_J,A_H,A_Ks,SDSS_SPEC_REDSHIFT,DR10_SPEC_REDSHIFT,DR10_PHOT_REDSHIFT,DR10_PHOT_REDSHIFT_I,DR9_PHOT_REDSHIFT,REDSHIFT,REDSHIFT_SOURCE,DA,SCALE,DL,KCOR_G,KCOR_R,KCOR_I,KCOR_Z,KCOR_J,KCOR_H,KCOR_Ks,KCOR_W1,KCOR_W2,KCOR_W3,KCOR_W4,M_G,M_R,M_I,M_Z,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,M_W4,PHYS_SMA_SB26,LOGMSTAR_WISE,LOGSFR_WISE
,,,deg,deg,,,,,,,,,,,deg,deg,,arcmin,,,,mag,mag,mag,,deg,deg,mag,mag,mag,mag,mag,mag,arcmin,,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,deg,arcmin,arcmin,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,,,,Mpc,kpc/arcsec,Mpc,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,kpc,dex (log10 Msun),dex (log10 Msun/yr)
2MASXJ13471048+1439359,J134710.46+143936.4,2MASXJ13471048+1439359,206.7935990,14.6601102,PR,,Polar_Tilted Rings,,S0,,,,,3813585,206.7936975,14.6600773,E,0.6792,0.043501,WISEA J134710.46+143936.5,0.043501,12.903,12.152,11.907,22340,206.7936045,14.6601060,15.506,0.004,14.678,0.005,14.065,0.005,0.9801,SB26,28.800,28.007,27.877,27.090,28.662,28.386,15.374,0.042,15.491,0.4192,0.0226,15.345,1.1965,14.5550,0.0380,14.6210,0.5251,0.0603,14.5280,1.1965,14.188,0.033,14.244,0.5499,0.0551,14.164,1.1965,13.956,0.050,13.985,0.6510,0.1383,13.940,1.1965,21.12,0.4863,0.4536,15.448,14.624,14.260,14.011,11.262,0.023,11.009,0.02,6.786,0.015,4.708,0.027,0.099,0.065,0.047,0.035,0.022,0.013,0.009,0.043501,0.043501,0.036701,0.037298,0.037891,0.043501,SDSS_SPEC_REDSHIFT,183.50,0.890,199.82,0.092,0.042,0.031,0.014,-0.026,-0.021,-0.093,0.000,0.000,0.000,0.000,-21.203,-21.989,-22.337,-22.567,-23.596,-24.343,-24.512,-25.241,-25.494,-29.717,-31.795,28.04,10.971,1.385
UGC08717,J134722.19+302000.4,UGC08717,206.8424683,30.3334472,PTS,,Forming Polar_Tilted Rings,,S0,,EGIPS J134722.1+302000,,,48884,206.8424867,30.3335078,SABa,1.0839,0.015530,UGC 08717,0.015524,11.099,10.348,10.037,213509,206.8424886,30.3335061,13.925,0.015,13.065,0.016,12.337,0.017,2.6349,SB26,29.029,28.300,,27.397,28.924,28.460,14.063,0.009,14.097,0.7843,0.0660,14.062,1.9777,13.1900,0.0070,13.2100,0.8562,0.0621,13.1900,1.9777,,,,,,,,12.463,0.007,12.474,0.8777,0.0913,12.466,1.9777,38.99,0.8122,0.2920,14.083,13.205,,12.478,12.432,0.024,12.463,0.024,11.722,0.181,9.13,,0.064,0.042,0.030,0.023,0.014,0.009,0.006,0.015513,,0.016712,,0.019003,0.015513,SDSS_SPEC_REDSHIFT,67.70,0.328,69.81,0.019,0.014,,0.009,-0.011,-0.016,-0.027,0.000,0.000,0.000,0.000,-20.206,-21.066,,-21.778,-23.124,-23.865,-24.162,-21.788,-21.757,-22.498,-25.090,16.85,9.686,-1.069
PGC1847197,J134831.90+284929.9,PGC1847197,207.1328986,28.8249666,PTS,,Polar_Tilted Tidal Structures,,S,,,,,1847197,207.1329525,28.8249895,Sa,0.6368,0.062790,,,,,,1386003,207.1328823,28.8249713,15.658,0.007,14.840,0.009,14.195,0.012,0.9642,SB26,28.999,28.322,,27.465,28.939,28.528,15.536,0.025,15.621,0.4599,0.0375,15.536,1.1278,14.7380,0.0210,14.7870,0.4879,0.0669,14.7380,1.1278,,,,,,,,14.125,0.024,14.149,0.6111,0.0802,14.120,1.1278,179.18,0.4612,0.3347,15.587,14.781,,14.161,10.705,0.022,10.612,0.02,9.29,0.03,7.409,0.108,0.056,0.037,0.027,0.020,0.012,0.008,0.005,0.062790,0.062790,0.047080,,0.047859,0.062790,SDSS_SPEC_REDSHIFT,258.84,1.255,292.37,0.137,0.056,,0.014,,,,0.000,0.000,0.000,0.000,-21.902,-22.636,,-23.215,,,,-26.625,-26.718,-28.040,-29.921,36.74,11.578,0.699
PGC1963405,J134850.98+314604.8,PGC1963405,207.2124229,31.7680103,PH,,Polar_Tilted Halos,,S0-a,,,,,1963405,207.2123535,31.7680133,E,0.3631,,,,,,,616976,207.2124270,31.7680045,16.824,0.007,15.917,0.006,15.265,0.006,0.5786,SB26,28.948,28.241,,27.632,28.857,28.630,16.627,0.073,16.822,0.2697,0.0153,16.598,0.7680,15.7550,0.0630,15.8360,0.3818,0.0346,15.7150,0.7680,,,,,,,,15.097,0.059,15.129,0.4974,0.0486,15.065,0.7680,39.67,0.3074,0.2778,16.758,15.856,,15.201,11.879,0.022,11.746,0.021,8.347,0.021,6.614,0.067,0.043,0.028,0.020,0.015,0.009,0.006,0.004,,,0.079631,,0.075696,0.079631,DR10_PHOT_REDSHIFT,321.81,1.560,375.11,0.194,0.072,,0.018,,,,0.000,0.000,0.000,0.000,-21.286,-22.135,,-22.775,,,,-25.992,-26.125,-29.524,-31.257,35.74,11.312,1.188
PGC1477596,J134937.31+151106.6,PGC1477596,207.4054430,15.1851601,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S,,,,,1477596,207.4055550,15.1851493,S?,0.3573,0.058205,,,,,,631330,207.4054519,15.1851676,17.831,0.010,17.062,0.010,16.505,0.010,0.3887,SB26,28.770,28.043,27.415,27.070,28.670,28.277,17.713,0.079,17.857,0.1572,0.0261,17.706,0.5715,16.9740,0.0840,17.0470,0.1824,0.0555,16.9740,0.5715,16.657,0.094,16.727,0.2073,0.0900,16.648,0.5715,16.441,0.108,16.476,0.2097,0.0890,16.466,0.5715,162.73,0.2308,0.1331,17.776,17.018,16.710,16.467,13.172,0.024,13.11,0.027,12.146,,9.28,,0.091,0.060,0.043,0.033,0.020,0.012,0.009,0.058205,0.058205,0.143160,0.141199,0.141914,0.058205,SDSS_SPEC_REDSHIFT,241.25,1.170,270.16,0.115,0.051,0.018,0.010,,,,0.000,0.000,0.000,0.000,-19.507,-20.222,-20.492,-20.725,,,,-23.986,-24.048,-25.012,-27.878,12.80,10.533,-0.048
PGC184174,J135016.97-082319.9,PGC184174,207.5706940,-8.3888482,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S0-a,,,,,184174,207.5706870,-8.3888056,,0.5224,0.053800,WISEA J135016.97-082319.7,0.053797,13.026,12.608,12.136,1153230,207.5706990,-8.3888510,15.954,0.005,15.038,0.006,14.354,0.007,0.8550,SB26,29.357,28.350,28.510,27.400,29.018,28.745,15.850,0.025,15.953,0.3761,0.0237,15.848,1.0021,14.9510,0.0280,15.0110,0.4510,0.0310,14.9480,1.0021,14.559,0.018,14.596,0.4784,0.0264,14.537,1.0021,14.300,0.031,14.323,0.4925,0.1118,14.305,1.0021,110.36,0.4096,0.3513,15.914,15.010,14.608,14.339,13.971,0.026,13.63,0.031,9.642,0.035,8.036,0.169,0.135,0.089,0.064,0.048,0.030,0.018,0.013,,,0.075165,0.082621,0.072759,0.053797,REDSHIFT_NED,224.16,1.087,248.92,0.123,0.052,0.039,0.017,-0.057,-0.074,-0.057,0.000,0.000,0.000,0.000,-21.285,-22.110,-22.487,-22.722,-23.927,-24.316,-24.800,-23.009,-23.350,-27.338,-28.944,29.41,10.048,0.342
PGC1720600,J135020.15+245609.4,PGC1720600,207.5839434,24.9359375,PTS,PTS,Forming Polar_Tilted Rings,Polar_Tilted Tidal Structures,S0-a,,,,,1720600,207.5839515,24.9359431,Sbc,0.4365,0.030290,,,,,,1110007,207.5839270,24.9359314,16.516,0.018,15.810,0.020,15.296,0.026,0.5941,SB26,28.895,28.143,,27.080,28.764,28.183,16.360,0.045,16.465,0.2800,0.0986,16.325,1.1965,15.6730,0.0470,15.7460,0.3131,0.0991,15.6420,1.1965,,,,,,,,15.168,0.068,15.153,0.9010,0.2058,15.143,1.1965,47.31,0.4845,0.1803,16.375,15.680,,15.159,12.259,0.024,12.266,0.024,9.628,0.042,7.95,0.153,0.057,0.037,0.027,0.020,0.012,0.008,0.005,0.030309,0.030309,0.064799,,0.059633,0.030309,SDSS_SPEC_REDSHIFT,129.90,0.630,137.90,0.052,0.031,,0.010,,,,0.000,0.000,0.000,0.000,-19.342,-20.020,,-20.575,,,,-23.439,-23.432,-26.070,-27.748,11.84,10.338,-0.096
SPRC134,J135059.06+334315.4,SPRC134,207.7460852,33.7209474,PR,,Polar_Tilted Rings,,S,,,Moiseev et al. (2011),https://ui.adsabs.harvard.edu/#abs/2011MNRAS.418..244M/abstract,,207.7461100,33.7209500,,,0.093304,SPRC 134,0.093304,14.384,13.562,13.297,,,,,,,,,,,,29.291,28.591,,27.145,29.198,28.243,16.907,0.034,17.008,0.1934,0.0100,16.893,0.5548,16.0010,0.0310,16.0550,0.2748,0.0125,15.9630,0.5548,,,,,,,,15.580,0.028,15.567,0.2806,0.0949,15.610,0.5548,61.34,0.2282,0.2008,16.978,16.077,,15.558,12.775,0.023,12.584,0.024,8.571,0.022,6.686,0.056,0.075,0.049,0.036,0.027,0.016,0.010,0.007,0.093304,,,,0.085324,0.093304,SDSS_SPEC_REDSHIFT,371.09,1.799,443.57,0.218,0.078,,0.007,-0.033,0.007,-0.184,0.000,0.000,0.000,0.000,-21.520,-22.307,,-22.702,-23.834,-24.690,-24.761,-25.460,-25.651,-29.664,-31.549,29.66,11.079,1.295
PGC049168,J135100.23+365715.8,PGC049168,207.7509403,36.9543860,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,,,49168,207.7508715,36.9544484,S0-a,1.0233,0.017447,ARK 430,0.017447,11.563,10.912,10.604,112810,207.7509502,36.9543945,14.142,0.006,13.327,0.007,13.214,0.015,1.8516,SB26,29.117,28.547,,27.390,29.131,28.495,14.029,0.025,14.139,0.7692,0.1857,14.026,2.5804,13.2510,0.0180,13.2630,1.2660,0.0796,13.1990,2.5804,,,,,,,,13.186,0.014,13.174,1.7606,0.5663,13.181,2.5804,146.93,1.0448,0.6858,14.052,13.244,,13.163,13.34,0.024,13.226,0.029,12.096,,8.874,,0.043,0.028,0.021,0.015,0.009,0.006,0.004,0.017447,,,,0.013610,0.017447,SDSS_SPEC_REDSHIFT,75.96,0.368,78.63,0.027,0.018,,0.005,-0.014,-0.019,-0.031,0.000,0.000,0.000,0.000,-20.409,-21.261,,-21.324,-22.910,-23.553,-23.847,-21.138,-21.252,-22.382,-25.604,27.95,9.377,-0.881
PGC1512574,J135106.74+163558.5,PGC1512574,207.7780625,16.5995748,PR,,Polar_Tilted Rings,,E,EON_207.778_16.600,EGIPS J135106.7+163558,,,1512574,207.7780140,16.5996010,S?,0.7047,0.035159,WISEA J135106.74+163558.4,0.035159,12.832,12.059,11.973,18523,207.7780681,16.5995789,15.551,0.037,14.630,0.041,13.941,0.040,1.0780,SB26,28.657,28.022,27.328,27.083,28.627,28.241,15.832,0.017,15.871,0.4013,0.0532,15.825,1.0021,14.9430,0.0140,14.9640,0.4280,0.0429,14.9380,1.0021,14.547,0.018,14.562,0.4502,0.1523,14.545,1.0021,14.267,0.016,14.271,0.4962,0.1564,14.271,1.0021,2.23,0.4118,0.1382,15.858,14.964,14.566,14.283,10.9,0.023,10.977,0.02,10.17,0.059,8.806,,0.071,0.047,0.034,0.025,0.016,0.010,0.007,0.035159,0.035159,0.042586,0.046472,0.043399,0.035159,SDSS_SPEC_REDSHIFT,149.81,0.726,160.53,0.069,0.034,0.033,0.015,-0.022,-0.021,-0.102,0.000,0.000,0.000,0.000,-20.297,-21.145,-21.533,-21.797,-23.190,-23.958,-23.960,-25.128,-25.051,-25.858,-27.222,18.64,11.037,-0.289
PGC1663212,J135108.09+220505.5,PGC1663212,207.7837103,22.0848623,PB,,Polar_Tilted Bulges,,S,EON_207.784_22.085,EGIPS J135108.0+220506,,,1663212,207.7837125,22.0849024,Sc,0.6209,0.027435,2MASS J13510808+2205046,0.027435,,,,304538,207.7836857,22.0848821,16.768,0.027,15.991,0.029,15.372,0.027,0.8551,SB26,28.997,28.009,,27.256,28.757,28.290,16.703,0.032,16.793,0.3612,0.0746,16.702,1.0321,16.0000,0.0670,16.0550,0.3308,0.0967,16.0210,1.0321,,,,,,,,18.034,0.032,16.235,0.3614,0.1310,23.511,0.9446,91.51,0.4171,0.1577,16.749,16.038,,15.485,12.089,0.023,12.128,0.023,10.916,0.097,9.15,,0.081,0.053,0.038,0.029,0.018,0.011,0.008,0.027435,0.027435,0.030665,,0.029880,0.027435,SDSS_SPEC_REDSHIFT,118.00,0.572,124.56,0.047,0.028,,0.010,,,,0.000,0.000,0.000,0.000,-18.812,-19.503,,-19.281,,,,-23.388,-23.349,-24.561,-26.327,11.35,10.328,-0.616
PGC049232,J135159.40+135803.0,PGC049232,207.9974831,13.9674864,PTS,,Polar_Tilted Tidal Structures,,S,,,,,49232,207.9975531,13.9674704,S0-a,0.8318,0.036601,CGCG 073-088,0.036629,,,,94100,207.9975554,13.9674966,15.076,0.006,14.211,0.005,13.508,0.007,1.5924,SB26,28.374,28.041,27.093,27.510,28.565,28.309,14.938,0.039,15.067,0.7611,0.1070,14.933,2.4323,14.1370,0.0260,14.1680,1.1111,0.0951,14.1020,2.4323,13.728,0.049,13.766,1.0395,0.2298,13.721,2.4323,13.429,0.025,13.472,1.1102,0.1493,13.424,2.4323,74.28,0.9866,0.3466,15.007,14.172,13.780,13.491,14.027,0.035,13.898,0.044,10.705,0.104,8.783,,0.084,0.056,0.040,0.030,0.019,0.011,0.008,0.036629,0.036629,0.032313,0.030996,0.034039,0.036629,SDSS_SPEC_REDSHIFT,155.80,0.755,167.42,0.074,0.036,0.031,0.015,,,,0.000,0.000,0.000,0.000,-21.210,-22.043,-22.424,-22.692,,,,-22.092,-22.221,-25.414,-27.336,50.33,9.753,-0.247
PGC049256,J135214.58+022134.3,PGC049256,208.0607600,2.3595364,PTS,,Forming Polar_Tilted Rings,,S,,,,,49256,208.0607760,2.3595550,Sa,0.5358,0.023711,CGCG 045-122,0.023706,12.652,12.243,11.843,11056,208.0607542,2.3595302,15.556,0.006,14.757,0.008,14.125,0.009,1.0550,SB26,28.977,28.205,27.602,27.585,28.845,28.604,15.349,0.040,15.523,0.4886,0.0422,15.250,1.7571,14.5950,0.0400,14.6150,0.7949,0.0665,14.4720,1.7571,14.227,0.054,14.229,0.8844,0.1185,14.126,1.7571,13.984,0.035,13.959,0.9934,0.2391,13.879,1.7571,80.15,0.7137,0.4038,15.428,14.636,14.283,14.010,11.529,0.022,11.524,0.021,8.786,0.026,7.769,0.156,0.100,0.066,0.048,0.036,0.022,0.014,0.009,0.023710,0.023710,0.041683,0.043948,0.042380,0.023710,SDSS_SPEC_REDSHIFT,102.44,0.497,107.35,0.041,0.024,0.022,0.011,-0.027,-0.046,-0.028,0.000,0.000,0.000,0.000,-19.772,-20.629,-20.995,-21.242,-22.497,-22.879,-23.292,-23.625,-23.630,-26.368,-27.385,23.70,10.408,-0.229
2MASXJ13523934+0106088,J135239.37+010609.1,2MASXJ13523934+0106088,208.1640394,1.1025366,PR,,Polar_Tilted Rings,,E,,,Moiseev et al. (2011),https://ui.adsabs.harvard.edu/#abs/2011MNRAS.418..244M/abstract,,208.1643400,1.1025200,,,0.071537,SPRC 045,0.071537,14.859,13.829,13.246,,,,,,,,,,,,28.997,28.411,27.969,27.368,28.999,28.619,16.656,0.059,16.837,0.2357,0.0327,16.650,0.8644,16.0910,0.0460,16.1460,0.3638,0.0293,16.0210,0.8644,15.791,0.054,15.844,0.4292,0.0319,15.747,0.8644,15.544,0.077,15.607,0.4794,0.0969,15.543,0.8644,67.41,0.3485,0.1832,16.784,16.158,15.883,15.678,12.07,0.022,12.081,0.023,8.947,0.025,7.231,0.094,0.109,0.072,0.052,0.039,0.024,0.015,0.010,0.071537,0.071537,0.068838,0.063806,0.064597,0.071537,SDSS_SPEC_REDSHIFT,291.87,1.415,335.12,0.089,0.043,-0.020,-0.004,-0.040,-0.018,-0.059,0.000,0.000,0.000,0.000,-20.987,-21.595,-21.814,-22.054,-22.751,-23.794,-24.331,-25.556,-25.545,-28.679,-30.395,30.89,11.186,0.873
PGC2378439,J135259.80+503807.0,PGC2378439,208.2491632,50.6352666,EW,,Extreme Disk Tilts_Warps,,S,,,,,2378439,208.2491505,50.6352681,S?,0.4571,0.063766,2MASX J13525980+5038072,0.063772,13.446,12.844,12.394,181713,208.2491732,50.6352807,16.453,0.009,15.498,0.010,14.882,0.013,0.8138,SB26,29.268,28.603,,27.412,29.202,28.532,16.312,0.031,16.433,0.3389,0.0192,16.293,0.9446,15.3830,0.0250,15.4480,0.4154,0.0310,15.3610,0.9446,,,,,,,,14.878,0.016,14.885,0.3102,0.1315,14.874,0.9446,52.88,0.3868,0.2412,16.397,15.462,,14.878,14.046,0.039,13.884,0.047,10.971,0.147,8.07,,0.032,0.021,0.015,0.011,0.007,0.004,0.003,0.063772,,,,0.069483,0.063772,SDSS_SPEC_REDSHIFT,262.59,1.273,297.15,0.155,0.061,,0.017,-0.047,-0.040,-0.079,0.000,0.000,0.000,0.000,-21.119,-21.999,,-22.508,-23.879,-24.485,-24.895,-23.319,-23.481,-26.394,-29.295,31.73,10.233,0.470
PGC049344,J135323.68+230255.3,PGC049344,208.3486583,23.0486881,PTS,,Polar_Tilted Tidal Structures,,S,,,,,49344,208.3487370,23.0486646,S?,0.4487,0.053252,CGCG 132-036,0.053252,12.586,12.093,11.69,544666,208.3486653,23.0486848,15.264,0.003,14.505,0.003,13.950,0.003,0.8079,SB26,28.833,28.100,,27.170,28.735,28.245,15.201,0.021,15.251,0.3945,0.0216,15.174,1.1965,14.4400,0.0190,14.4640,0.5224,0.0475,14.4100,1.1965,,,,,,,,13.873,0.031,13.905,0.5050,0.1494,13.862,1.1965,47.49,0.4814,0.3199,15.232,14.470,,13.919,12.748,0.027,12.718,0.029,10.423,0.075,8.191,,0.068,0.044,0.032,0.024,0.015,0.009,0.006,0.053252,0.053252,0.033492,,0.034183,0.053252,SDSS_SPEC_REDSHIFT,222.03,1.076,246.31,0.108,0.048,,0.011,-0.050,-0.059,-0.073,0.000,0.000,0.000,0.000,-21.882,-22.585,,-23.087,-24.336,-24.814,-25.200,-24.209,-24.239,-26.534,-28.766,33.73,10.633,0.277
PGC1698067,J135335.87+240100.2,PGC1698067,208.3994636,24.0167153,PTS,,Polar_Tilted Tidal Structures,,S,,,,,1698067,208.3994265,24.0167420,S?,0.5483,0.056160,,,,,,1008254,208.3994667,24.0167264,15.909,0.007,15.019,0.010,14.348,0.017,1.0041,SB26,29.036,28.168,,27.209,28.836,28.308,15.760,0.032,15.901,0.4555,0.0241,15.721,1.3467,14.8790,0.0340,14.9400,0.6107,0.0441,14.8440,1.3467,,,,,,,,14.240,0.054,14.251,0.7029,0.1585,14.181,1.3467,178.33,0.5424,0.3229,15.826,14.948,,14.296,12.276,0.023,12.253,0.023,10.45,0.074,8.43,,0.052,0.034,0.025,0.019,0.011,0.007,0.005,0.056160,0.056160,0.063105,,0.066484,0.056160,SDSS_SPEC_REDSHIFT,233.34,1.131,260.29,0.130,0.054,,0.017,,,,0.000,0.000,0.000,0.000,-21.358,-22.225,,-22.862,,,,-24.801,-24.824,-26.627,-28.647,41.44,10.873,0.233
PGC049386,J135359.51+394255.5,PGC049386,208.4979512,39.7154265,PH,,Polar_Tilted Halos,,S,,,,,49386,208.4980500,39.7154593,S0,0.5649,0.008676,CGCG 219-021,0.008669,13.169,12.254,12.091,902537,208.4980900,39.7153844,15.676,0.009,14.890,0.011,14.474,0.018,1.1517,SB26,29.301,28.422,,27.467,29.075,28.552,15.387,0.028,15.479,0.4397,0.0857,15.392,1.1965,14.5930,0.0270,14.6260,0.5244,0.0661,14.5990,1.1965,,,,,,,,14.230,0.020,14.231,0.3576,0.1264,14.244,1.1965,161.93,0.4908,0.4383,15.442,14.631,,14.220,12.164,0.023,12.074,0.022,8.865,0.029,7.306,0.097,0.046,0.030,0.022,0.016,0.010,0.006,0.004,0.008669,,,,0.044526,0.008669,SDSS_SPEC_REDSHIFT,38.15,0.185,38.81,0.010,0.009,,0.005,-0.008,-0.013,-0.024,0.000,0.000,0.000,0.000,-17.522,-18.358,,-18.735,-19.778,-20.684,-20.834,-20.781,-20.871,-24.080,-25.639,5.82,9.242,-0.868
PGC1619163,J135417.34+201101.2,PGC1619163,208.5722544,20.1836643,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S0-a,,,,,1619163,208.5722505,20.1836684,S?,0.3606,0.056755,,,,,,723174,208.5722583,20.1836630,16.572,0.025,15.702,0.023,15.052,0.032,0.5413,SB26,28.856,28.375,,27.206,28.931,28.314,16.456,0.036,16.539,0.2582,0.0300,16.435,0.8148,15.5970,0.0260,15.6320,0.3613,0.0292,15.5760,0.8148,,,,,,,,14.956,0.047,14.973,0.4308,0.0951,14.941,0.8148,34.69,0.3312,0.1917,16.490,15.625,,14.984,12.329,0.023,12.356,0.023,9.621,0.037,8.01,0.184,0.073,0.048,0.035,0.026,0.016,0.010,0.007,0.056755,0.056755,0.051556,,0.050625,0.056755,SDSS_SPEC_REDSHIFT,235.65,1.142,263.16,0.130,0.054,,0.016,,,,0.000,0.000,0.000,0.000,-20.765,-21.571,,-22.170,,,,-24.772,-24.745,-27.480,-29.091,24.76,10.878,0.396
PGC1683722,J135419.03+231347.9,EGIPS_J135418.9+231348,208.5792711,23.2299733,PTS,,Polar_Tilted Tidal Structures,,S,,EGIPS J135418.9+231348,,,1683722,208.5792225,23.2299720,,0.5248,0.064366,,,,,,11281,208.5792711,23.2299733,16.852,0.026,15.853,0.029,15.049,0.034,,,28.794,28.042,,27.163,28.630,28.242,16.725,0.039,16.887,0.3820,0.0390,16.727,0.9729,15.8000,0.0280,15.8780,0.4494,0.0346,15.7940,0.9729,,,,,,,,15.018,0.032,15.038,0.5810,0.1469,15.005,0.9729,168.72,0.4001,0.2020,16.698,15.759,,14.967,12.862,0.024,12.831,0.025,12.287,0.358,9.162,,0.064,0.042,0.030,0.023,0.014,0.009,0.006,0.064360,0.064360,0.057468,,0.059436,0.064360,SDSS_SPEC_REDSHIFT,264.82,1.284,300.01,0.157,0.062,,0.021,,,,0.000,0.000,0.000,0.000,-20.720,-21.612,,-22.392,,,,-24.524,-24.555,-25.099,-28.224,34.62,10.759,0.078
PGC049423,J135426.74+082338.3,PGC049423,208.6113991,8.3939817,PTS,,Forming Polar_Tilted Rings,,S,,EGIPS J135426.7+082338,,,49423,208.6112775,8.3938726,S?,0.6761,0.023181,CGCG 073-096,,,,,774373,208.6114089,8.3939435,16.100,0.008,15.351,0.008,14.680,0.012,1.1046,SB26,28.817,28.187,27.859,27.183,28.781,28.461,15.835,0.035,15.926,0.5205,0.0751,15.763,1.5612,15.1450,0.0340,15.2240,0.5784,0.0430,15.1050,1.5612,14.839,0.031,14.893,0.6399,0.1062,14.806,1.5612,14.584,0.043,14.598,0.7997,0.2064,14.537,1.5612,117.30,0.6356,0.2895,15.819,15.145,14.842,14.557,12.551,0.024,12.508,0.025,10.865,0.101,8.777,,0.096,0.063,0.046,0.034,0.021,0.013,0.009,0.023167,0.023167,0.032231,0.037261,0.034777,0.023167,SDSS_SPEC_REDSHIFT,100.16,0.486,104.85,0.036,0.024,0.014,0.009,,,,0.000,0.000,0.000,0.000,-19.309,-19.966,-20.270,-20.548,,,,-22.552,-22.595,-24.238,-26.326,16.87,9.966,-0.617
IC4343,J135455.80+250721.4,IC4343,208.7325208,25.1226072,PR,PDL,Polar_Tilted Rings,Polar_Tilted Dust Lanes,M,,,,,49470,208.7324445,25.1226538,E,1.0544,0.029116,IC 4343,0.029113,11.822,11.121,10.835,1191740,208.7324963,25.1226028,14.563,0.009,13.648,0.010,12.955,0.011,1.9698,SB26,28.980,28.232,,27.231,28.848,28.316,14.512,0.025,14.614,0.7415,0.0876,14.489,2.0981,13.6120,0.0200,13.6750,0.8907,0.0635,13.6030,2.0981,,,,,,,,12.935,0.028,12.958,1.0832,0.1915,12.921,2.0981,17.03,0.8520,0.5085,14.579,13.674,,12.987,11.885,0.022,11.695,0.021,8.11,0.019,6.391,0.052,0.058,0.038,0.028,0.021,0.013,0.008,0.005,0.029113,0.029113,0.027691,,0.033304,0.029113,SDSS_SPEC_REDSHIFT,124.96,0.606,132.34,0.050,0.027,,0.014,-0.020,-0.023,-0.056,0.000,0.000,0.000,0.000,-21.102,-21.998,,-22.685,-23.779,-24.472,-24.722,-23.723,-23.913,-27.498,-29.217,32.39,10.385,0.442
